IMAGE,PLAYER NAME,COUNTRY,BORN,SPORT,CLUB & LEAGUES,ACHIEVEMENTS
./dhoni.webp,MAHENDRA SINGH DHONI,INDIA,1981,CRICKET,CHENNAI SUPER KINGS-IPL,"5-IPL ,3 ICC TITLES"
./cr7.jpg,CRISTIANO RONALDO,PORTUGAL,1985,FOOTBALL,"SP,MUN,RM,JUV,ALNASSAR","900+ CARRER GOALS,5 BALLONDIORS, MANY MORE"
./rohit.jpg,ROHIT SHARMA,INDIA,1987,CRICKET,MUMBAI INDIANS-IPL,"5 IPL ,2 ICC TITLES"
./virat.jpeg,VIRAT KHOLI,INDIA,1988,CRICKET,RCB-IPL,"MOST 100'S IN ODI , ICC TITLE"
./messi.jpeg,LIONEL MESSI,ARGENTINA,1987,FOOTBALL,"BARCA,PSG,IM","FIFA WORLD CUP , 7 BALLON DIOR"
./shane.jpeg,SHANE WARNE,AUSTRALIA,1969,CRICKET,RR-IPL,ICC TITLES
./lewis.avif,LEWIS HAMILTON,UNITED KINGDOM,1985,F1 RACING,MERCEDCES BENZ,7 WORLD & 105 GRAND PRIX TITLES
./pardeep.webp,PARDEEP NARWAL,INDIA,1997,KABADDI,"PATNA PIRATES,BENGULURU BULLS-PKL","WORLD CUP , PKL TITLE"
./sachin.jpeg,SACHINN TENDULKAR,INDIA,1973,CRICKET,MUMBAI INDIANS-IPL,"IPL TITLE , 1ST CENTUARY IN ODI"
./sunil.avif,SUNIL CHHETRI,INDIA,1984,FOOTBALL,BENGULURU FC -ISL,"ISL TITLE ,All Time 4th MOST GOAL SCORER"
./dhyan.avif,DHYAN CHAND,INDIA,1905,HOCKEY,OLYMPICS,3 OLYMPIC GOLD MEDALS
./bolt.jpg,USIAN BOLT,JAMICA,1986,ATHLETICS,OLYMPICS,8 OLYMPIC GOLD MEDALS
./roger.webp,ROGER FEDERER,SWITHERLAND,1981,TENNIS,OPEN TOURNMENTS,20+ GRAND SLAMS
./pele.jpeg,PELE,BRAZIL,1940,FOOTBALL,SANTOS CLUB & FIFA,"3 FIFA WORLDS CUP , 7 BALLON DIORS"
./sarena.jpg,SARENA WILLIAMS,USA,1981,TENNIS,OPEN TOURNMENTS,23 GRAND SLAMS
./mike.jpg,MIKE TYSON,USA,1966,BOXING,HEAVY WEIGHT -WBA,6 HEAVY WEIGHT CHAMPIONSHIPS
./pv.jpeg,PV SINDU,INDIA,1995,BADMINTON,OLYMPICS-WBF,2 OLYMPIC MEDALS
./neeraj.jpeg,NEERAJ CHOPRA,INDIA,1997,JAVELIN THROW,OLYMPICS,1 GOLD & 1 SLIVER OLYMPIC MEDALS
./kane.webp,KANE WILLAMSON,NEW ZEALAND,1990,CRICKET,"SRH,GT-IPL",IPL & ICC WTC
./kylian.jpg,KYLIAN MBAPPE,FRANCE,1998,FOOTBALL,"PSG,RM-FIFA",1 FIFA WORLD CUP
./ney.webp,NEYMER JR,BRAZIL,1992,FOOTBALL,"BARCA,PSG,ALHILAL",OLYMPIC MEDAL & CLUB TITLES
./tiger.webp,TIGER WOODS,USA,1975,GOLF,PGA TOURS,15 PGA TITLES
./max.jpeg,MAX VERSTEPPEN,BELGIUM,1997,F1 RACING,RED BULL RACING,3 WORLD & 61 GRAND PRIX TITLES
./jordan.jpeg,MICHEAL JORDAN,USA,1963,BASKET BALL,LAKERS-NBA,6 NBA TITLES
